id,nombre,precio,cantidad,en_stock,fecha_ingreso
10282,Fuente de Poder Modelo 657,1486.6,7,si,2025-04-07
10283,Router Modelo 231,482.33,50,si,2025-04-16
10284,Cooler Modelo 461,1524.43,30,si,2025-05-29
10285,Memoria RAM Modelo 327,1161.91,38,si,2025-05-11
10286,Mouse Modelo 785,1325.11,12,si,2025-05-05
10287,Microfono Modelo 537,882.08,0,no,2025-06-01
10288,Cooler Modelo 820,407.98,40,si,2025-04-24
10289,Smartwatch Modelo 623,1149.08,26,si,2025-03-26
10290,Camara IP Modelo 680,310.24,18,si,2025-03-05
10291,Memoria RAM Modelo 108,929.49,49,si,2025-03-05
10292,Cable HDMI Modelo 723,528.88,1,si,2025-07-24
10293,Parlantes Modelo 162,830.97,30,si,2025-05-19
10294,Impresora Modelo 854,1187.38,30,si,2025-05-14
10295,Mouse Modelo 824,944.27,14,si,2025-05-15
10296,Webcam Modelo 592,1827.96,38,si,2025-02-12
10297,Memoria RAM Modelo 974,1629.28,34,si,2025-02-06
10298,Auriculares Modelo 892,1574.63,28,si,2025-06-09
10299,Consola de Juegos Modelo 496,192.66,7,si,2025-05-13
10300,Cooler Modelo 963,1643.13,37,si,2025-06-27
10301,Case Modelo 759,470.44,2,si,2025-01-27
10302,Cooler Modelo 217,391.97,31,si,2025-02-28
10303,Laptop Modelo 625,491.06,3,si,2025-05-14
10304,Impresora Modelo 908,1829.68,29,si,2025-01-31
10305,Adaptador Bluetooth Modelo 399,872.46,50,si,2025-03-26
10306,Memoria RAM Modelo 235,1189.35,11,si,2025-05-11
10307,Parlantes Modelo 957,1389.19,10,si,2025-02-13
10308,Proyector Modelo 180,1335.52,50,si,2025-07-09
10309,Disco Duro Modelo 811,857.48,3,si,2025-02-28
10310,Laptop Modelo 523,709.18,10,si,2025-03-31
10311,Microfono Modelo 465,710.1,4,si,2025-03-11
10312,Disco Duro Modelo 733,395.55,47,si,2025-05-18
10313,Webcam Modelo 377,567.46,46,si,2025-07-03
10314,Monitor Modelo 769,354.86,1,si,2025-06-01
10315,Camara IP Modelo 244,1220.6,17,si,2025-05-01
10316,Webcam Modelo 991,741.21,9,si,2025-06-09
10317,Teclado Modelo 532,709.12,19,si,2025-04-09
10318,Laptop Modelo 105,1993.31,26,si,2025-05-01
10319,Auriculares Modelo 652,1871.29,24,si,2025-07-01
10320,Webcam Modelo 970,1281.83,29,si,2025-02-19
10321,Disco Duro Modelo 551,1114.04,3,si,2025-05-09
10322,Router Modelo 163,1285.41,28,si,2025-05-24
10323,Adaptador Bluetooth Modelo 649,1042.86,42,si,2025-01-27
10324,Tarjeta de Video Modelo 291,1595.09,22,si,2025-06-16
10325,Laptop Modelo 658,1399.45,37,si,2025-05-15
10326,Tablet Modelo 657,286.91,14,si,2025-05-23
10327,Joystick Modelo 276,1187.74,24,si,2025-02-09
10328,Procesador Modelo 368,1687.17,42,si,2025-05-22
10329,Tarjeta de Video Modelo 719,1219.78,2,si,2025-03-05
10330,Smartphone Modelo 781,1729.11,7,si,2025-03-23
10331,Tarjeta Madre Modelo 954,493.22,22,si,2025-04-04
10332,Teclado Modelo 308,1756.85,33,si,2025-02-27
10333,Procesador Modelo 799,1630.71,31,si,2025-03-18
10334,Auriculares Modelo 942,1399.27,4,si,2025-02-22
10335,Adaptador Bluetooth Modelo 772,1250.54,9,si,2025-05-30
10336,Tarjeta Madre Modelo 454,63.07,23,si,2025-07-20
10337,Fuente de Poder Modelo 156,1230.9,8,si,2025-05-08
10338,Joystick Modelo 218,1485.09,5,si,2025-04-13
10339,Cooler Modelo 776,450.58,4,si,2025-05-06
10340,Smartphone Modelo 599,186.38,27,si,2025-05-06
10341,Proyector Modelo 266,404.57,3,si,2025-02-13
10342,SSD Externo Modelo 729,372.43,46,si,2025-06-03
10343,Proyector Modelo 559,179.35,14,si,2025-06-16
10344,Teclado Modelo 152,444.28,11,si,2025-03-26
10345,Tablet Modelo 322,1546.2,24,si,2025-05-17
10346,Escaner Modelo 713,1060.8,27,si,2025-03-06
10347,Disco Duro Modelo 318,774.68,0,no,2025-03-29
10348,Proyector Modelo 573,1470.37,21,si,2025-05-08
10349,Cable HDMI Modelo 288,1947.53,24,si,2025-02-10
10350,Cable HDMI Modelo 410,462.53,0,no,2025-02-16
10351,Laptop Modelo 455,761.99,50,si,2025-07-02
10352,Impresora Modelo 687,1816.45,28,si,2025-05-30
10353,Disco Duro Modelo 219,1139.45,26,si,2025-03-03
10354,Router Modelo 604,1503.32,7,si,2025-06-21
10355,Router Modelo 206,1255.89,25,si,2025-05-30
10356,Procesador Modelo 272,1891.3,8,si,2025-04-21
10357,Auriculares Modelo 618,139.57,12,si,2025-04-26
10358,Parlantes Modelo 628,272.03,40,si,2025-01-29
10359,Laptop Modelo 693,961.62,35,si,2025-02-01
10360,Laptop Modelo 275,758.23,26,si,2025-03-05
10361,Cooler Modelo 848,1263.83,14,si,2025-05-27
10362,Mouse Modelo 858,1459.15,13,si,2025-06-11
10363,Auriculares Modelo 255,1623.6,38,si,2025-03-02
10364,Camara IP Modelo 578,231.15,48,si,2025-02-03
10365,Cooler Modelo 602,97.55,33,si,2025-04-05
10366,Monitor Modelo 853,1815.19,45,si,2025-02-09
10367,Auriculares Modelo 684,260.55,50,si,2025-04-04
10368,Monitor Modelo 615,378.23,18,si,2025-06-13
10369,Parlantes Modelo 811,894.53,14,si,2025-06-29
10370,Auriculares Modelo 376,1871.52,3,si,2025-06-12
10371,Case Modelo 648,625.78,42,si,2025-02-22
10372,Disco Duro Modelo 964,785.63,26,si,2025-07-13
10373,Cable HDMI Modelo 841,1153.46,3,si,2025-04-12
10374,Joystick Modelo 751,1479.32,15,si,2025-03-10
10375,Camara IP Modelo 580,176.66,1,si,2025-07-23
10376,Cooler Modelo 839,182.83,2,si,2025-02-28
10377,Tarjeta de Video Modelo 634,1635.09,17,si,2025-07-02
10378,Parlantes Modelo 640,1772.24,16,si,2025-05-15
10379,Case Modelo 737,1512.17,46,si,2025-03-30
10380,Teclado Modelo 830,530.79,31,si,2025-06-07
10381,Router Modelo 474,99.05,6,si,2025-01-31
10382,Monitor Modelo 312,1863.14,46,si,2025-02-11
10383,Memoria RAM Modelo 244,997.62,7,si,2025-03-14
10384,Teclado Modelo 627,305.89,26,si,2025-05-29
10385,Proyector Modelo 418,1849.87,28,si,2025-03-04
10386,Monitor Modelo 707,1042.46,9,si,2025-01-28
10387,Tarjeta Madre Modelo 289,1020.58,9,si,2025-07-08
10388,Disco Duro Modelo 656,611.9,43,si,2025-05-23
10389,Camara IP Modelo 288,1091.4,44,si,2025-03-04
10390,Case Modelo 233,368.02,12,si,2025-04-10
10391,Consola de Juegos Modelo 548,749.78,34,si,2025-07-01
10392,Joystick Modelo 313,351.16,45,si,2025-02-18
10393,Impresora Modelo 560,506.88,12,si,2025-06-27
10394,SSD Externo Modelo 601,1541.41,1,si,2025-07-03
10395,Adaptador Bluetooth Modelo 200,809.36,22,si,2025-07-01
10396,Router Modelo 288,1261.03,24,si,2025-07-17
10397,Impresora Modelo 811,454.21,17,si,2025-06-06
10398,Cooler Modelo 753,1417.52,29,si,2025-01-28
10399,Impresora Modelo 354,1194.56,25,si,2025-04-23
10400,Tarjeta de Video Modelo 315,137.21,30,si,2025-05-03
10401,Smartwatch Modelo 134,268.47,46,si,2025-02-03
10402,Auriculares Modelo 315,1827.33,1,si,2025-04-20
10403,SSD Externo Modelo 479,1988.35,37,si,2025-04-19
10404,Teclado Modelo 395,116.6,46,si,2025-05-01
10405,Smartphone Modelo 561,1613.21,6,si,2025-03-01
10406,Laptop Modelo 931,1859.95,47,si,2025-04-30
10407,Parlantes Modelo 828,1682.57,5,si,2025-06-14
10408,Procesador Modelo 215,471.27,44,si,2025-07-06
10409,Router Modelo 870,26.89,37,si,2025-03-11
10410,Cable HDMI Modelo 916,420.77,29,si,2025-05-03
10411,Impresora Modelo 795,471.52,24,si,2025-02-24
10412,Smartwatch Modelo 896,1976.98,21,si,2025-02-27
10413,Case Modelo 749,650.6,46,si,2025-04-23
10414,Adaptador Bluetooth Modelo 740,740.54,35,si,2025-02-27
10415,Disco Duro Modelo 355,1795.73,31,si,2025-07-03
10416,Mouse Modelo 430,1027.46,11,si,2025-02-08
10417,Cable HDMI Modelo 680,876.01,1,si,2025-05-26
10418,Webcam Modelo 723,218.54,31,si,2025-05-23
10419,Disco Duro Modelo 944,343.12,42,si,2025-03-05
10420,Escaner Modelo 334,1723.51,36,si,2025-04-13
10421,Consola de Juegos Modelo 202,393.94,9,si,2025-03-04
10422,Tarjeta Madre Modelo 630,173.98,30,si,2025-04-27
10423,Impresora Modelo 703,1632.43,41,si,2025-03-12
10424,Tarjeta de Video Modelo 489,812.09,50,si,2025-05-14
10425,Procesador Modelo 986,1079.15,25,si,2025-04-10
10426,Microfono Modelo 216,457.44,0,no,2025-04-17
10427,Cable HDMI Modelo 307,29.91,48,si,2025-07-24
10428,Cable HDMI Modelo 146,1316.44,30,si,2025-04-26
10429,Tablet Modelo 488,1498.94,24,si,2025-07-16
10430,Escaner Modelo 498,379.55,48,si,2025-04-18
10431,Escaner Modelo 213,1539.3,45,si,2025-02-04
10432,Hub USB Modelo 752,256.04,45,si,2025-04-12
10433,Memoria RAM Modelo 360,431.15,40,si,2025-02-15
10434,Auriculares Modelo 438,492.16,31,si,2025-07-04
10435,SSD Externo Modelo 404,216.5,18,si,2025-03-24
10436,Teclado Modelo 472,726.15,42,si,2025-05-11
10437,Escaner Modelo 230,1617.75,41,si,2025-04-20
10438,Microfono Modelo 960,1366.11,3,si,2025-05-20
10439,Smartwatch Modelo 757,1210.74,7,si,2025-03-25
10440,Case Modelo 418,1536.9,33,si,2025-06-17
10441,Microfono Modelo 845,1958.9,40,si,2025-02-03
10442,Smartphone Modelo 577,1353.28,4,si,2025-03-16
10443,Escaner Modelo 337,1719.21,11,si,2025-02-24
10444,Tarjeta de Video Modelo 456,225.05,13,si,2025-07-01
10445,Joystick Modelo 138,145.82,29,si,2025-02-10
10446,Memoria RAM Modelo 161,299.63,30,si,2025-05-29
10447,Disco Duro Modelo 790,176.2,42,si,2025-04-07
10448,Cable HDMI Modelo 396,1256.17,14,si,2025-07-18
10449,Joystick Modelo 542,1726.4,22,si,2025-03-31
10450,Adaptador Bluetooth Modelo 901,481.77,6,si,2025-05-11
